gene,LR_stat,pvalue,padj
ENSG00000167378,164.69357669567285,1.0672049793853107e-37,1.2807247357774567e-35
ENSG00000119979,164.66566066393727,1.0822961369747737e-37,1.2940601090696172e-35
ENSG00000117222,164.35415687157231,1.265886062120762e-37,1.5080273447725797e-35
ENSG00000257878,164.28011721724448,1.3139196659806212e-37,1.5595363276285315e-35
ENSG00000116731,164.1168370375643,1.4263891702802343e-37,1.6868737671219556e-35
ENSG00000105968,163.44055347718262,2.004366656517555e-37,2.3618120435965191e-35
ENSG00000204592,163.36601813746648,2.0809430089361147e-37,2.443192365942972e-35
ENSG00000143924,163.27662793721862,2.176649289815846e-37,2.5463664821363645e-35
ENSG00000233975,163.20027696273277,2.2618730215185785e-37,2.6365818783450613e-35
ENSG00000255328,163.07731037025394,2.4062004564618536e-37,2.7948018301804427e-35
ENSG00000132661,162.73864721714753,2.8531040757033727e-37,3.302087215303384e-35
ENSG00000177294,162.62124179766485,3.026681493810352e-37,3.490557997932634e-35
ENSG00000173846,162.4029654094934,3.3779484071370405e-37,3.8818953391134564e-35
ENSG00000148346,162.2898653065049,3.5757064370505816e-37,4.0946874910478524e-35
ENSG00000196371,162.18408406665438,3.771133009584786e-37,4.303325885533909e-35
ENSG00000273272,162.06807149633408,3.997764285165371e-37,4.5459891637114753e-35
ENSG00000188921,161.97828467366725,4.182471954477677e-37,4.7394548050008026e-35
ENSG00000143321,161.58323445203936,5.102006304917965e-37,5.761369758629931e-35
ENSG00000120594,161.4135709729248,5.556589728123225e-37,6.2529900047759e-35
ENSG00000167562,161.06805200132928,6.6114473267631015e-37,7.414396205551366e-35
ENSG00000198727,160.94379972166053,7.037900783963432e-37,7.865519219795834e-35
ENSG00000185787,160.914709100499,7.141655023970274e-37,7.954140571560316e-35
ENSG00000082074,160.888332916703,7.2370496228750506e-37,8.032878083110661e-35
ENSG00000180573,160.81289795067408,7.51696716777839e-37,8.315197490832952e-35
ENSG00000104885,160.20661819372577,1.0197763288276406e-36,1.1242429073265263e-34
ENSG00000240065,160.04480559739275,1.1062642083302803e-36,1.2154704251120735e-34
ENSG00000119321,159.39031423795615,1.5376548902211213e-36,1.683757991238091e-34
ENSG00000175061,159.2248976864459,1.6710958088119307e-36,1.8237375132275709e-34
ENSG00000151466,159.10011074601164,1.7793716343341413e-36,1.935408839191135e-34
ENSG00000033800,158.9428311875209,1.92589069082984e-36,2.0877939015722685e-34
ENSG00000198736,158.7897684023875,2.0800580506435062e-36,2.2474301635557512e-34
ENSG00000101574,158.75461955457976,2.1171684590481008e-36,2.279952073680872e-34
ENSG00000225964,158.53070606187111,2.3696289874537203e-36,2.543401779866993e-34
ENSG00000110876,158.37532539640648,2.562307022866632e-36,2.741162795975941e-34
ENSG00000272501,157.98706558735586,3.115065418372525e-36,3.3215789356167626e-34
