,cluster,membership
ENSG00000140830,5,0.9993719632137784
ENSG00000142405,0,0.9999998943684946
ENSG00000182923,5,0.9809768845555608
ENSG00000127951,0,0.9999380302132287
ENSG00000111261,0,0.99999083047671
ENSG00000105205,1,0.999999976271796
ENSG00000272666,0,0.9999969087809379
ENSG00000134882,5,0.9999999999917064
ENSG00000176542,3,0.9999098834180548
ENSG00000272189,0,0.9999999991240005
ENSG00000165071,0,0.9999963254660259
ENSG00000102738,5,0.9999997216599992
ENSG00000124226,0,0.9999030134966583
ENSG00000028839,0,0.9757052719084468
ENSG00000162889,2,0.6388646280353962
ENSG00000064225,0,0.9999993651373089
ENSG00000172059,4,0.999993895482108
ENSG00000147416,0,0.9996956904772436
ENSG00000122729,0,0.999705272571311
ENSG00000255221,0,0.9988720267160651
ENSG00000234515,5,0.9758049118937844
ENSG00000113532,0,0.9159675775070761
ENSG00000205423,5,0.9999999993324016
ENSG00000260378,0,0.9995705653365762
ENSG00000136161,0,0.8913175901585624
ENSG00000196235,3,0.9686924357153134
ENSG00000204209,5,0.999996826962128
ENSG00000129515,5,0.7687658234657744
ENSG00000257242,1,0.9999933828307881
ENSG00000174125,0,0.9999925804757517
ENSG00000151883,5,0.9999999219783978
ENSG00000137500,0,0.9999799811564682
ENSG00000168610,0,0.9999937871187324
ENSG00000099783,3,0.9999986147781575
ENSG00000114209,5,0.9999909557976816
ENSG00000138035,0,0.9990155506735858
ENSG00000162222,0,0.9999964322246603
ENSG00000155827,0,0.55440625077317
ENSG00000204569,5,0.9999999731137458
ENSG00000198763,4,0.9999999317797392
ENSG00000099194,1,0.9999677667736301
ENSG00000259529,5,0.9999954171827918
ENSG00000101544,3,0.9999966372081303
ENSG00000187109,4,0.9472189647180559
ENSG00000106009,3,0.9999974053713199
ENSG00000162869,5,0.9622835424485783
ENSG00000224940,2,0.9999998815204352
ENSG00000073331,5,0.9999405217292208
ENSG00000179869,2,0.999727230856731
ENSG00000270820,5,0.6901660824326288
ENSG00000134996,0,0.9865266765495219
ENSG00000196415,1,0.9996480136163812
ENSG00000167513,1,0.999959870751902
ENSG00000187554,0,0.9941280503752157
ENSG00000282988,5,0.9999999999722877
ENSG00000101916,0,0.9999999313421644
ENSG00000172775,0,0.9999999991621245
ENSG00000058799,0,0.9999999991162178
ENSG00000136541,3,0.9999999999999376
ENSG00000105472,1,0.9978496116451
ENSG00000125691,1,0.9999999999999996
ENSG00000250687,5,0.9999999999998479
ENSG00000144744,5,0.9999903491079356
ENSG00000214872,0,0.9999999999999838
ENSG00000160179,5,0.9999999872525255
ENSG00000179094,4,0.515018560526041
ENSG00000125735,0,0.9994276355934891
ENSG00000101193,1,0.9981141953093512
ENSG00000163666,0,0.9999999940058084
ENSG00000126247,1,0.9999999959043746
ENSG00000235863,0,0.9999999995126636
ENSG00000081087,5,0.9998800323203768
ENSG00000069943,5,0.7982079789021571
ENSG00000175806,2,0.9948088369229555
ENSG00000135519,2,0.7130261177782057
ENSG00000002549,5,0.9993811115849631
ENSG00000283633,2,0.9997045469993141
ENSG00000135315,5,0.9991822317433257
ENSG00000139289,4,0.999852033108857
ENSG00000152422,0,0.5428131893721282
ENSG00000270276,0,0.9999013217156894
ENSG00000141002,1,0.5671508180874499
ENSG00000145868,0,0.9896992909277055
ENSG00000169245,0,0.9979038746348564
ENSG00000136527,3,0.9953529734096828
ENSG00000272419,0,0.9160712146387541
ENSG00000172493,0,0.9968748404007642
ENSG00000133101,0,0.9999983726997146
ENSG00000125510,5,0.9999795213191849
ENSG00000239839,2,0.9999999382491074
ENSG00000164609,0,0.999999999999901
ENSG00000162704,0,0.9999724362724927
ENSG00000159479,5,0.8776135400205916
ENSG00000102225,4,0.9999999999994791
ENSG00000274677,1,0.9998285100296543
ENSG00000103671,5,0.9969172316500458
ENSG00000072274,3,0.9537241346991714
ENSG00000143753,0,0.9999999995424846
ENSG00000285639,4,0.9840966542827806
ENSG00000175130,1,0.9327992677292901
ENSG00000110048,3,0.9999999998039926
ENSG00000176014,4,0.9854705232662465
ENSG00000065978,1,0.695658791257918
ENSG00000127564,1,0.9999999993950277
ENSG00000052749,1,0.99896429614475
ENSG00000130766,4,1.0
ENSG00000185973,5,0.9874809072394582
ENSG00000162600,5,0.9992985306981544
ENSG00000136371,0,0.9999999993054467
ENSG00000138449,0,0.7569317940625138
ENSG00000115109,0,0.94256620233868
ENSG00000140525,3,0.9994088686317052
ENSG00000182022,5,0.780440636884316
ENSG00000076984,1,0.9999205719986012
ENSG00000146083,4,0.9999999257853014
ENSG00000184432,5,0.9999999635233241
ENSG00000079257,5,0.9999999411978967
ENSG00000258289,0,0.9999857707766072
ENSG00000130640,4,0.9999784149958748
ENSG00000101421,1,0.9874824859796206
ENSG00000153786,2,0.9995867334324746
ENSG00000214975,0,0.9999836144658771
ENSG00000150527,5,0.5546271487000786
ENSG00000115947,5,0.9999879719010609
ENSG00000068366,5,0.9916271911807549
ENSG00000101236,0,0.9999999999784916
ENSG00000065809,1,0.9999999995161046
ENSG00000111837,5,0.9999999999789364
ENSG00000007392,4,0.7093525374035329
ENSG00000136827,0,0.9999837647438352
ENSG00000111321,0,0.999758538005996
ENSG00000088833,0,0.9997047012731582
ENSG00000005961,1,0.9999916305345685
ENSG00000123130,0,0.9940993646592894
ENSG00000224152,0,0.9999917905020165
ENSG00000138942,0,0.9956815452371638
ENSG00000124107,1,0.9949905188832344
ENSG00000149516,2,0.9999992892018444
ENSG00000116786,4,0.8658679824141216
ENSG00000171928,0,0.9999998345252116
ENSG00000121060,0,0.9999999999827958
ENSG00000197208,0,0.9998962440244978
ENSG00000005483,5,0.9997636732720109
ENSG00000167460,1,0.9998302386845646
ENSG00000134255,5,0.999980950205643
ENSG00000010671,5,0.9999999999995242
ENSG00000213923,4,0.9999983820557553
ENSG00000115155,5,0.9999999995404361
